people,saying,original,english_equivalent,source_title,source_url
Romanian,Many a true word is spoken in jest.,Adevărul se spune glumind.,Many a true word is spoken in jest.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The truth is spoken jokingly.,,The truth is spoken jokingly.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Still waters run deep.,Apa linǎ este adâncă.,Still waters run deep.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Slow but steady work can achieve much.,,Slow but steady work can achieve much.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The apple doesn't fall far from the tree.,Așchia nu sare departe de trunchi,The apple doesn't fall far from the tree.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The splinter does not jump far from the trunk .,,The splinter does not jump far from the trunk .,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"While the grass grows, the steed starves.","Așteaptā, murgule, să paști iarbă verde.","While the grass grows, the steed starves.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Wait, steed, to graze on green grass.",,"Wait, steed, to graze on green grass.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"True heroism is remarkably sober, very undramatic. It is not the urge to surpass all others at whatever cost, but the urge to serve others at whatever cost."".",,"True heroism is remarkably sober, very undramatic. It is not the urge to surpass all others at whatever cost, but the urge to serve others at whatever cost."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Barbă lungă și capra are, dar minte nicicum nu are.",,"Barbă lungă și capra are, dar minte nicicum nu are.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Long beard even the goat has, but mind it does not. (female goat referred to in proverb).",,"Long beard even the goat has, but mind it does not. (female goat referred to in proverb).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English proverbs: If the beard were all, the goat might preach.",,"English proverbs: If the beard were all, the goat might preach.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Flonta, Teodor (2001),.",,"Flonta, Teodor (2001),.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Good wine needs no bush.,Calul bun se vinde în grajd. (The good horse is sold even in stable),Good wine needs no bush.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Good wine needs no bush.,,English equivalent: Good wine needs no bush.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,A good product does not need advertising.".,,A good product does not need advertising.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Martin H. Manser (2007).,,Martin H. Manser (2007).,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
