cluster_id,claim,coverage,support,wisdom_score,x,y
3957,Children observe daily and — in their behaviour — often follow the example of their parents.,31,34,41.2,2.904632,4.5232224
4740,Sons may look and behave like their fathers. This is due to inheritance and the example observed closely and daily.,27,46,40.8,3.499161,5.7276163
138,The apple does not fall far from the tree.,30,35,40.5,2.3691134,-0.24671471
2282,"Like father, like son.",27,27,35.1,7.59985,2.6824293
1115,"Like mother, like daughter.",22,23,28.9,7.5439186,2.677674
2788,Working hard for others one may neglect one's own needs or the needs of those closest to him.,21,21,27.3,1.2213436,5.3255
1034,A bird in the hand is worth two in the bush.,20,20,26.0,3.50616,3.3119233
123,Barking dogs seldom bite.,19,21,25.3,1.7689427,7.6038947
187,"von Düringsfield, Ida; von Düringsfield, Otto (1875). ""545, geben"" (in German). Sprichwörter der germanishcen und romanischen Sprachen Vergleichend . I . pp. 284-285.",9,48,23.4,2.8467557,7.754369
545,All that glitters is not gold.,16,19,21.7,1.5827881,2.9128513
957,Men are like fish; the great ones devour the small.,16,16,20.8,7.3087363,2.2787547
3965,Starting properly ensures the speedy completion of a process. A – beginning is often blocked by one or more obstacles (potential barriers) the removal of which may ensure the smooth course of the process.,15,15,19.5,3.3959117,3.742522
493,"Divers Proverbs , Nathan Bailey, 1721 [1].",12,23,18.9,7.1896257,0.01687303
32,New brooms sweep clean.,14,15,18.5,0.28660375,8.473793
8,Strike while the iron is hot.,14,14,18.2,3.216872,3.5777752
653,"Man proposes, God disposes.",14,14,18.2,2.7767923,7.406771
1248,Small organizations or insignificant people tend to be swallowed up or destroyed by those that are greater and more powerful.,14,14,18.2,2.0763478,4.167616
3688,Meaning: An attractive appearance may be deceptive. It may cover or hide a much less favourable content.,14,14,18.2,-7.202395,12.862971
196,"Benjamin Franklin, Poor Richard's Almanack (1737).",12,20,18.0,0.38821453,8.103107
2206,"Children and fools have no inhibition, and alcohol consumed removes the inhibition against telling the truth that occasionally one would like to keep secret.",13,16,17.8,3.297743,5.04554
1678,Heaven helps those who help themselves.,13,15,17.5,1.6897565,4.5712457
186,The road to hell is paved with good intentions.,13,14,17.2,0.7845268,0.95739067
754,"Well begun, is half done.",13,14,17.2,1.1931136,6.24039
982,Prefer late over never..,13,14,17.2,7.9027805,5.4974055
1002,"Something you have for certain now is of more value than something better you may get, especially if you risk losing what you have in order to get it.",13,14,17.2,4.5224147,4.7171044
1241,What you reap is what you sow.,13,13,16.9,5.116767,5.3440294
2432,It is an ill bird that fouls its own nest; Don't wash your dirty linen in public.,13,13,16.9,5.540205,6.1343384
3787,Misery loves company.,13,13,16.9,-1.0318115,5.942533
357,A rolling stone gathers no moss.,12,12,15.6,1.1639401,5.606368
1878,A lie has short legs.,12,12,15.6,1.2687998,4.9515505
887,All is well that ends well.,11,15,15.5,1.4626849,3.201641
861,An ounce of prevention is worth a pound of cure.,11,13,14.9,1.4455345,6.7663674
573,"von Reinsberg-Düringsfeld, Ida; von Reinsberg-Düringsfeld, Otto (1875). ""197, Noth"" (in German). Sprichwörter der germanischen und romanischen Sprachen . Fries. pp. 109–.",7,26,14.8,2.8059566,7.738112
133,Don't count your chickens before they're hatched.,11,12,14.6,5.602274,6.1636386
304,"Where there's smoke, there's fire.",11,12,14.6,0.5139667,3.7012084
399,Don't make a mountain out of a molehill.,11,12,14.6,5.847806,6.5174966
403,Don't look a gift horse in the mouth.,11,12,14.6,5.858412,6.5251627
164,A drowning man plucks at a straw.,11,11,14.3,2.7736676,7.2656913
382,One swallow does not make a summer.,11,11,14.3,0.74740624,-0.607301
457,A bad beginning makes a bad ending.,11,11,14.3,4.152879,1.0251837
834,"If the cat is away, then the mice play..",11,11,14.3,3.3392026,2.8016593
1612,People who make the most or the loudest threats are the least likely to take action.,11,11,14.3,3.9540508,1.6774085
631,Constant dropping wears the stone.,10,13,13.9,3.0524867,3.9489384
271,"Nothing ventured, nothing gained.",10,12,13.6,4.76997,4.0599403
1513,Still waters run deep.,10,12,13.6,1.9036489,8.950616
2226,"Early to bed and early to rise, makes a man healthy, wealthy and wise.",10,12,13.6,4.326313,1.4388144
62,The shoemaker goes barefoot.,10,11,13.3,2.9940057,2.9905293
165,"Out of sight, out of mind.",10,11,13.3,0.7979162,7.0041394
878,"It is better that somebody arrives or something happens later than expected or desired, than not at all.",10,11,13.3,-0.7185415,-0.4065163
937,Don't add fuel to the fire.,10,11,13.3,5.8438354,6.4202
1011,Good health is above wealth.,10,11,13.3,0.8687185,0.8791907
