people,region,language_family,climate_zone,coastal,is_island,maritime_orientation,trade_route_proximity,migration_hub,subsistence_bias,staple_crop,legal_origin,urbanization_level,individualism_proxy,uncertainty_avoidance_proxy
Romanian,Europe (SE),Indo-European · Romance,Temperate/Continental,N,N,Low,None,Med,Agriculture,Wheat,CivilLaw,Med,Med,High
Moldovan,Europe (SE),Indo-European · Romance,Temperate/Continental,N,N,Low,None,Med,Agriculture,Wheat,Mixed,Med,Med,Med
Italian,Europe (S),Indo-European · Romance,Mediterranean,Partial,N,Med,Mediterranean,Med,Agriculture,Wheat,CivilLaw,Med,Med,High
Spanish,Europe (SW)/Latin America,Indo-European · Romance,Mediterranean/Subtropical,Partial,N,Med,Atlantic,Med,Agriculture,Wheat,CivilLaw,Med,Med,High
Catalan,Europe (SW),Indo-European · Romance,Mediterranean,N,N,Low,None,Med,Agriculture,Wheat,Mixed,Med,Med,Med
Galician,Europe (SW),Indo-European · Romance,Atlantic/Maritime,N,N,Low,None,Med,Agriculture,Wheat,Mixed,Med,Med,Med
Portuguese,Europe (SW)/Brazil,Indo-European · Romance,Mediterranean/Tropical,Partial,N,Med,Atlantic,Med,Agriculture,Wheat,CivilLaw,Med,Med,High
French,Europe (W),Indo-European · Romance,Temperate/Maritime,Partial,N,Med,Atlantic,Med,Agriculture,Wheat,CivilLaw,High,Med,High
Occitan,Europe (SW),Indo-European · Romance,Mediterranean,N,N,Low,None,Med,Agriculture,Wheat,Mixed,Med,Med,Med
Sardinian,Europe (S),Indo-European · Romance,Mediterranean,N,N,Low,None,Med,Agriculture,Wheat,Mixed,Med,Med,Med
English,Europe (NW),Indo-European · Germanic,Temperate/Maritime,Partial,N,Med,Atlantic,Med,Agriculture,Mixed,CommonLaw,Med,High,Low
German,Europe (Central),Indo-European · Germanic,Temperate/Continental,N,N,Low,None,Med,Agriculture,Mixed,Mixed,High,High,Med
Dutch,Europe (NW),Indo-European · Germanic,Maritime/Temperate,Partial,N,Med,Atlantic,Med,Agriculture,Mixed,Mixed,Med,High,Low
Afrikaans,Africa (S),Indo-European · Germanic,Semi-arid/Temperate,N,N,Low,None,Med,Agriculture,Mixed,Mixed,Low,Med,Med
Swedish,Europe (N),Indo-European · Germanic,Temperate/Continental,N,N,Low,None,Med,Agriculture,Mixed,Mixed,High,High,Low
Norwegian,Europe (N),Indo-European · Germanic,Maritime/Subarctic,N,N,Low,None,Med,Agriculture,Mixed,Mixed,High,High,Med
Danish,Europe (N),Indo-European · Germanic,Maritime/Temperate,N,N,Low,None,Med,Agriculture,Mixed,Mixed,High,High,Low
